"genus","species","is_exotic"
"Aremonia","Aremonia agrimonoides",0
"Arenaria","Arenaria leptoclados",0
"Arenaria","Arenaria serpyllifolia",0
"Arenaria","Arenaria sp.",0
"Artemisia","Artemisia absinthium",0
"Artemisia","Artemisia campestris",0
"Artemisia","Artemisia sp.",0
"Artemisia","Artemisia vulgaris",0
"Asparagus","Asparagus acutifolius",0
"Asparagus","Asparagus sp.",0
"Asperula","Asperula cynanchica",0
"Asphodeline","Asphodeline liburnica",0
"Asphodelus","Asphodelus ramosus",0
"Asplenium","Asplenium adiantum-nigrum",0
"Asplenium","Asplenium ceterach",0
"Asplenium","Asplenium onopteris",0
"Asplenium","Asplenium trichomaris",0
"Aster","Aster amellus",0
"Asteriscus","Asteriscus aquaticus",0
"Astragalus","Astragalus glycyphyllos",0
"Astragalus","Astragalus monspeliensis",0
"Asyneuma","Asyneuma limonifolium",0
"Atractylis","Atractylis cancellata",0
"Avena","Avena barbata",0
"Avena","Avena fatua",0
"Avena","Avena sterilis",0
"Ballota","Ballota acetabulosa",0
"Ballota","Ballota nigra",0
"Bellardia","Bellardia latifolia",0
"Bellardia","Bellardia trixago",0
"Bellis","Bellis perennis",0
"Betula","Betula pendula",0
"Biscutella","Biscutella didyma",0
"Bituminaria","Bituminaria bituminosa",0
"Bombycilaena","Bombycilaena erecta",0
"Bothriochloa","Bothriochloa ischaemum",0
"Brachypodium","Brachypodium distachyon",0
"Brachypodium","Brachypodium pinnatum",0
"Brachypodium","Brachypodium retusum",0
"Brachypodium","Brachypodium sp.",0
"Brachypodium","Brachypodium sylvaticum",0
"Brassica","Brassica nigra",0
"Briza","Briza maxima",0
"Briza","Briza media",0
"Briza","Briza minor",0
"Bromopsis","Bromopsis erecta",0
"Bromus","Bromus arvensis",0
"Bromus","Bromus erectus",0
"Bromus","Bromus hordeaceus",0
"Bromus","Bromus intermedius",0
"Bromus","Bromus media",0
"Bromus","Bromus sp.",0
"Bromus","Bromus squarrosus",0
"Bromus","Bromus sterilis",0
"Bromus","Bromus tectorum",0
"Bromus","Bromus vulgaris",0
"Bunias","Bunias erucago",0
"Bupleurum","Bupleurum apiculatum",0
"Bupleurum","Bupleurum falcatum",0
"Bupleurum","Bupleurum praealtum",0
"Buxus","Buxus sempervirens",0
"Calamagrostis","Calamagrostis arundinacea",0
"Calamagrostis","Calamagrostis canescens",0
"Calendula","Calendula officinalis",0
"Campanula","Campanula lingulata",0
"Campanula","Campanula rapunculus",0
"Campanula","Campanula sparsa",0
"Campanula","Campanula spatulata",0
"Campanula","Campanula trachelium",0
"Capsella","Capsella bursa-pastoris",0
"Cardamine","Cardamine bulbifera",0
"Cardamine","Cardamine graeca",0
"Cardamine","Cardamine hirsuta",0
"Carduus","Carduus nutans",0
"Carduus","Carduus pycnocephalus",0
"Carduus","Carduus sp.",0
"Carex","Carex acutiformis",0
"Carex","Carex divulsa",0
"Carex","Carex flacca",0
"Carex","Carex hirta",0
"Carex","Carex lasiocarpa",0
"Carex","Carex paniculata",0
"Carex","Carex sp.",0
"Carex","Carex spicata",0
"Carex","Carex sylvatica",0
"Carlina","Carlina acanthifolia",0
"Carlina","Carlina acaulis",0
"Carlina","Carlina corymbosa",0
"Carlina","Carlina vulgaris",0
"Carpinus","Carpinus betulus",0
"Carpinus","Carpinus orientalis",0
"Carthamus","Carthamus lanatus",0
"Castanea","Castanea sativa",0
"Catapodium","Catapodium rigidum",0
"Celtis","Celtis australis",0
"Centaurea","Centaurea affinis",0
"Centaurea","Centaurea benedicta",0
"Centaurea","Centaurea calcitrapa",0
"Centaurea","Centaurea cyanus",0
"Centaurea","Centaurea solstitialis",0
"Centaurea","Centaurea sp.",0
"Centaurium","Centaurium erythraea",0
"Cephalanthera","Cephalanthera rubra",0
"Cerastium","Cerastium brachypetalum",0
"Cerastium","Cerastium fontanum",0
"Cerastium","Cerastium holosteoides",0
"Cerastium","Cerastium semidecandrum",0
"Cerastium","Cerastium sp.",0
"Cercis","Cercis siliquastrum",0
"Chaerophyllum","Chaerophyllum nodosum",0
"Chamaecytisus","Chamaecytisus hirsutus",0
"Chamoecytisus","Chamoecytisus hirsutus",0
"Chelidonium","Chelidonium majus",0
"Chondrilla","Chondrilla juncea",0
"Chrysopogon","Chrysopogon dactylon",0
"Chrysopogon","Chrysopogon gryllus",0
"Cichorium","Cichorium intybus",0
"Cirsium","Cirsium arvense",0
"Cirsium","Cirsium eriophorum",0
"Cirsium","Cirsium sp.",0
"Cirsium","Cirsium vulgare",0
"Cistus","Cistus creticus",0
"Cistus","Cistus incanus",0
"Cistus","Cistus monspeliensis",0
"Clematis","Clematis flammula",0
"Clematis","Clematis vitalba",0
"Clinopodium","Clinopodium vulgare",0
"Colutea","Colutea arborescens",0
"Convolvulus","Convolvulus althaeoides",0
"Convolvulus","Convolvulus arvensis",0
"Convolvulus","Convolvulus cantabrica",0
"Cornus","Cornus mas",0
"Cornus","Cornus sanguinea",0
"Coronilla","Coronilla scorpioides",0
"Coryllus","Coryllus avelana",0
"Cota","Cota tinctoria subsp. tinctoria",0
"Cotinus","Cotinus cogygria",0
"Crambe","Crambe hispanica",0
"Crataegus","Crataegus monogyna",0
"Crepis","Crepis neglecta",0
"Crepis","Crepis pulchra",0
"Crepis","Crepis sancta",0
"Crepis","Crepis setosa",0
"Crepis","Crepis sp.",0
"Cruciata","Cruciata laevipes",0
"Cruciata","Cruciata pedemontana",0
"Cruciata","Cruciata verna",0
"Crupina","Crupina crupinastrum",0
"Crupina","Crupina vulgaris",0
"Cupressus","Cupressus sempervirens",0
"Cuscuta","Cuscuta sp.",0
"Cyclamen","Cyclamen hederifolium",0
"Cynanchum","Cynanchum acutum",0
"Cynodon","Cynodon dactylon",0
"Cynoglossum","Cynoglossum sp.",0
"Cynosurus","Cynosurus cristatus",0
"Cynosurus","Cynosurus echinatus",0
"Cyperus","Cyperus rotundus",0
"Cyperus","Cyperus sp.",0
"Dactylis","Dactylis glomerata",0
"Dactylorhiza","Dactylorhiza romana",0
"Danthonia","Danthonia decumbens",0
"Daphne","Daphne laureola",0
"Dasypyrum","Dasypyrum villosum",0
"Daucus","Daucus carota",1
"Daucus","Daucus guttatus",0
"Delphinium","Delphinium balcanicum",0
"Descurainia","Descurainia sophia",0
"Dianthus","Dianthus armeria",0
"Dianthus","Dianthus cruentus",0
"Dianthus","Dianthus giganteus",0
"Dianthus","Dianthus pinifolius",0
"Dianthus","Dianthus sp.",0
"Dianthus","Dianthus viscidus",0
"Dichanthium","Dichanthium ischaemum",0
"Dictamnus","Dictamnus albus",0
"Digitalis","Digitalis sp.",0
"Dittrichia","Dittrichia viscosa",0
"Doronicum","Doronicum caucasicum",0
"Dorycnium","Dorycnium herbaceum",0
"Dorycnium","Dorycnium hirsutum",0
"Draba","Draba muralis",0
"Ecballium","Ecballium elaterium",0
"Echinops","Echinops ritro",0
"Echinops","Echinops sphaerocephalus",0
"Echium","Echium italicum",0
"Echium","Echium parviflorum",0
"Echium","Echium plantagineum",0
"Echium","Echium vulgare",0
"Elytrigia","Elytrigia repens",0
"Epilobium","Epilobium montanum",0
"Epilobium","Epilobium sp.",0
"Epipactis","Epipactis helleborine",0
"Erica","Erica arborea",0
"Erica","Erica manipuliflora",0
"Erigeron","Erigeron alpinus",0
"Erigeron","Erigeron bonariensis",1
"Erigeron","Erigeron canadensis",1
"Erodium","Erodium absinthoides",0
"Erodium","Erodium ciconium",0
"Erodium","Erodium cicutarium",0
"Eruca","Eruca vesicaria",0
"Eryngium","Eryngium amethystinum",0
"Eryngium","Eryngium campestre",0
"Erysimum","Erysimum microstylum",0
"Erysimum","Erysimum sp.",0
"Euonymus","Euonymus europaeus",0
"Euphorbia","Euphorbia amygdaloides",0
"Euphorbia","Euphorbia characias",0
"Euphorbia","Euphorbia cyparissias",0
"Euphorbia","Euphorbia dendroides",0
"Euphorbia","Euphorbia exigua",0
"Euphorbia","Euphorbia myrsinites",0
"Euphorbia","Euphorbia seguieriana",0
"Euphorbia","Euphorbia sp.",0
"Euphorbia","Euphorbia stricta",0
"Euphorbia","Euphorbia taurinensis",0
"Euphrasia","Euphrasia salisburgensis",0
"Euphrasia","Euphrasia stricta",0
"Fagus","Fagus sylvatica",0
"Fallopia","Fallopia convolvulus",0
"Festuca","Festuca arundinacea",0
"Festuca","Festuca heterophylla",0
"Festuca","Festuca rubra",0
"Festuca","Festuca sp.",0
"Festuca","Festuca sp. 1",0
"Festuca","Festuca sp. 2",0
"Festuca","Festuca valesiaca",0
"Filago","Filago arvensis",0
"Filago","Filago gallica",0
"Filago","Filago pyramidata",0
"Filago","Filago sp.",0
"Filipendula","Filipendula vulgaris",0
"Foeniculum","Foeniculum vulgare",0
"Fragaria","Fragaria vesca",0
"Fraxinus","Fraxinus ornus",0
"Fumana","Fumana ericoides",0
"Fumana","Fumana sp.",0
"Fumana","Fumana thymifolia",0
"Fumaria","Fumaria officinalis",0
"Fumaria","Fumaria scoparia",0
"Galium","Galium aparine",0
"Galium","Galium debile",0
"Galium","Galium divaricatum",0
"Galium","Galium lucidum",0
"Galium","Galium mollugo group",0
"Galium","Galium murale",0
"Galium","Galium odoratum",0
"Galium","Galium parisiense",0
"Galium","Galium rotundifolium",0
"Galium","Galium sp.",0
"Galium","Galium tricornutum",0
"Galium","Galium verum",0
"Gaudinia","Gaudinia fragilis",0
"Genista","Genista carinalis",0
"Genista","Genista tinctoria",0
"Geocaryum","Geocaryum capillifolium",0
"Geranium","Geranium brutium",0
"Geranium","Geranium dissectum",0
"Geranium","Geranium lucidum",0
"Geranium","Geranium macrorrhizum",0
"Geranium","Geranium molle",0
"Geranium","Geranium robertianum",0
"Geranium","Geranium rotundifolium",0
"Geranium","Geranium sanguineum",0
"Geranium","Geranium sp.",0
"Geum","Geum urbanum",0
"Glechoma","Glechoma hirsuta",0
"Glycyrrhiza","Glycyrrhiza echinata",0
"Goniolimon","Goniolimon tataricum",0
"Hedera","Hedera helix",1
"Helianthemum","Helianthemum aegyptiacum",0
"Helianthemum","Helianthemum nummularium",0
"Helianthemum","Helianthemum sp.",0
"Heliotropium","Heliotropium suaveolens",0
"Helleborus","Helleborus odorus",0
"Helleborus","Helleborus odorus subsp. cyclophyllus",0
"Helminthotheca","Helminthotheca echioides",0
"Herniaria","Herniaria glabra",0
"Herniaria","Herniaria hirsuta",0
"Herniaria","Herniaria incana",0
"Hieracium","Hieracium hoppeanum",0
"Hieracium","Hieracium murorum",0
"Hieracium","Hieracium pilosus",0
"Hieracium","Hieracium sp.",0
"Hippocrepis","Hippocrepis emerus",0
"Hippocrepis","Hippocrepis unisiliquosa",0
"Hirschfeldia","Hirschfeldia incana",0
"Holcus","Holcus lanatus",0
"Holosteum","Holosteum umbellatum",0
"Hordelymus","Hordelymus europaeus",0
"Hordeum","Hordeum bulbosum",0
"Hordeum","Hordeum murinum",0
"Hordeum","Hordeum secalinum",0
"Hordeum","Hordeum vulgare",1
"Hymenocarpos","Hymenocarpos circinnatus",0
"Hypecoum","Hypecoum imberbe",0
"Hypericum","Hypericum aucheri",0
"Hypericum","Hypericum barbatum",0
"Hypericum","Hypericum montanum",0
"Hypericum","Hypericum montbretii",0
"Hypericum","Hypericum olympicum",0
"Hypericum","Hypericum perforatum",0
"Hypericum","Hypericum rumeliacum",0
"Hypericum","Hypericum triquetrifolium",0
"Hypochaeris","Hypochaeris achyrophorus",0
"Hypochaeris","Hypochaeris radicata",0
"Hypochaeris","Hypochaeris sp.",0
"Ilex","Ilex aquifolium",0
"Inula","Inula cf hirta",0
"Inula","Inula germanica",0
"Inula","Inula oculus-christi",0
"Inula","Inula sp.",0
"Iris","Iris pseudacorus",0
"Iris","Iris sp.",0
"Jasione","Jasione heldreichii",0
"Jasminum","Jasminum fruticans",0
"Juncus","Juncus effusus",0
"Juncus","Juncus sp.",0
"Juniperus","Juniperus communis",0
"Juniperus","Juniperus communis subsp. communis",0
"Juniperus","Juniperus communis subsp. nana",0
"Juniperus","Juniperus excelsa",0
"Juniperus","Juniperus oxycedrus",0
"Knautia","Knautia arvensis",0
"Knautia","Knautia drymeia",0
"Koeleria","Koeleria cristata",0
"Koeleria","Koeleria macrantha",0
"Koeleria","Koeleria nitidula",0
"Lactuca","Lactuca muralis",0
"Lactuca","Lactuca serriola",0
"Lactuca","Lactuca sp.",0
"Lactuca","Lactuca viminea",0
"Lagoecia","Lagoecia cuminoides",0
"Lagurus","Lagurus ovatus",0
"Lamium","Lamium amplexicaule",0
"Lamium","Lamium maculatum",0
"Lapsana","Lapsana communis",0
"Lathyrus","Lathyrus annuus",0
"Lathyrus","Lathyrus aphaca",0
"Lathyrus","Lathyrus cicera",0
"Lathyrus","Lathyrus grandiflorus",0
"Lathyrus","Lathyrus hirsutus",0
"Lathyrus","Lathyrus laxiflorus",0
"Lathyrus","Lathyrus niger",0
"Lathyrus","Lathyrus nissolia",0
"Lathyrus","Lathyrus pratensis",0
"Lathyrus","Lathyrus saxatilis",0
"Lathyrus","Lathyrus sp.",0
"Lathyrus","Lathyrus venetus",0
"Leontodon","Leontodon crispus",0
"Lepidium","Lepidium sativum",0
"Leucanthemum","Leucanthemum vulgare",0
"Ligustrum","Ligustrum vulgare",0
"Linaria","Linaria chalepensis",0
"Linaria","Linaria genistifolia",0
"Linaria","Linaria pelisseriana",0
"Linaria","Linaria sp.",0
"Linum","Linum bienne",0
"Linum","Linum catharticum",0
"Linum","Linum corymbulosum",0
"Linum","Linum sp.",0
"Linum","Linum tenuifolium",0
"Linum","Linum trigynum",0
"Linum","Linum usitatissimum",0
"Linum","Linum viscosum",0
"Lolium","Lolium perenne",0
"Lolium","Lolium rigidum",0
"Lomelosia","Lomelosia brachiata",0
"Lomelosia","Lomelosia sp.",0
"Lonicera","Lonicera etrusca",0
"Lonicera","Lonicera sp.",0
"Lotus","Lotus angustissimus",0
"Lotus","Lotus corniculatus",0
"Luzula","Luzula forsteri",0
"Luzula","Luzula luzuloides",0
"Luzula","Luzula multiflora",0
"Lychnis","Lychnis coronaria",0
"Lysimachia","Lysimachia nummularia",0
"Lysimachia","Lysimachia punctata",0
"Malva","Malva setigera",0
"Malva","Malva sylvestris",0
"Marrubium","Marrubium peregrinum",0
"Marrubium","Marrubium vulgare",0
"Matricaria","Matricaria chamomilla",0
"Matricaria","Matricaria recutita",0
"Medicago","Medicago arabica",0
"Medicago","Medicago lupulina",0
"Medicago","Medicago minima",0
"Medicago","Medicago orbicularis",0
"Medicago","Medicago praecox",0
"Medicago","Medicago rigidula",0
"Medicago","Medicago sativa",1
"Medicago","Medicago sativa subsp. falcata",0
"Medicago","Medicago sp.",0
"Medicago","Medicago truncatula",0
"Medicago","Medicago tuberculata",0
"Melica","Melica ciliata",0
"Melica","Melica uniflora",0
"Melilotus","Melilotus indicus",0
"Melilotus","Melilotus officinalis",0
"Melilotus","Melilotus sp.",0
"Melittis","Melittis melissophyllum",0
"Mentha","Mentha longifolia",0
"Mentha","Mentha pulegium",0
"Mentha","Mentha sp.",0
"Mentha","Mentha spicata",0
"Micromeria","Micromeria juliana",0
"Micromeria","Micromeria sp.",0
"Micropyrum","Micropyrum tenellum",0
"Microthlaspi","Microthlaspi perfoliatum",0
"Milium","Milium effusum",0
"Minuartia","Minuartia hamata",0
"Moenchia","Moenchia mantica",0
"Muscari","Muscari comosum",0
"Muscari","Muscari neglectum",0
"Muscari","Muscari sp.",0
"Myosotis","Myosotis arvensis",0
"Myosotis","Myosotis ramosissima",0
"Narcissus","Narcissus poeticus",0
"Neatostema","Neatostema apulum",0
"Neotinea","Neotinea ustulata",0
"Neottia","Neottia nidus-avis",0
"Nepeta","Nepeta nuda",0
"Nigella","Nigella arvensis",0
"Notobasis","Notobasis syriaca",0
"Odontarrhena","Odontarrhena muralis",0
"Odontites","Odontites vernus",0
"Oenanthe","Oenanthe pimpinelloides",0
"Olea","Olea europaea",0
"Onobrychis","Onobrychis aequidentata",0
"Onobrychis","Onobrychis alba",0
"Onobrychis","Onobrychis arenaria",0
"Onobrychis","Onobrychis caput-galli",0
"Onobrychis","Onobrychis saxitalis",0
"Ononis","Ononis reclinata",0
"Ononis","Ononis spinosa",0
"Ononis","Ononis viscosa",0
"Onopordum","Onopordum sp.",0
"Orchis","Orchis palustris",0
"Origanum","Origanum hirtum",0
"Origanum","Origanum vulgare",0
"Orlaya","Orlaya daucoides",0
"Orlaya","Orlaya daucorlaya",0
"Orlaya","Orlaya grandiflora",0
"Ornithogalum","Ornithogalum sp.",0
"Ornithopus","Ornithopus compressus",0
"Orobanche","Orobanche sp.",0
"Orthilia","Orthilia secunda",0
"Ostrya","Ostrya carpinifolia",0
"Osyris","Osyris alba",0
"Oxalis","Oxalis corniculata",0
"Oxalis","Oxalis dillenii",1
"Oxytropis","Oxytropis purpurea",0
"Paliurus","Paliurus spina-christi",0
"Pallenis","Pallenis spinosa",0
"Panicum","Panicum capillare",1
"Papaver","Papaver dubium",0
"Papaver","Papaver hybridum",0
"Papaver","Papaver rhoeas",0
"Parentucellia","Parentucellia latifolia",0
"Paronychia","Paronychia macedonica",0
"Pentanema","Pentanema verbascifolium",0
"Persicaria","Persicaria minor",0
"Petroraghia","Petroraghia sp.",0
"Petrorhagia","Petrorhagia dubia",0
"Petrorhagia","Petrorhagia prolifera",0
"Petrorhagia","Petrorhagia saxifraga",0
"Peucedanum","Peucedanum sp.",0
"Phalaris","Phalaris canariensis",1
"Phalaris","Phalaris paradoxa",0
"Phillyrea","Phillyrea latifolia",0
"Phleum","Phleum pratense",0
"Phlomis","Phlomis fruticosa",0
"Phlomis","Phlomis samia",0
"Phragmites","Phragmites australis",0
"Physospermum","Physospermum cornubiense",0
"Pilosela","Pilosela sp.",0
"Pilosella","Pilosella leucopsilon",0
"Pilosella","Pilosella officinarum",0
"Pimpinella","Pimpinella peregrina",0
"Pimpinella","Pimpinella saxifraga",0
"Pinus","Pinus brutia",0
"Pinus","Pinus nigra",0
"Pinus","Pinus ponderosa",1
"Pinus","Pinus radiata",1
"Piptatherum","Piptatherum miliaceum",0
"Pistacia","Pistacia lentiscus",0
"Pistacia","Pistacia terebinthus",0
"Plantago","Plantago afra",0
"Plantago","Plantago bellardii",0
"Plantago","Plantago coronopus",0
"Plantago","Plantago holosteum",0
"Plantago","Plantago lagopus",0
"Plantago","Plantago lanceolata",0
"Plantago","Plantago major",0
"Platanus","Platanus orientalis",0
"Poa","Poa bulbosa",0
"Poa","Poa nemoralis",0
"Poa","Poa pratensis",0
"Poa","Poa sp.",0
"Poa","Poa trivialis ",0
"Poaceae","Poaceae",0
"Poaceae","Poaceae sp.",0
"Poaceae","Poaceae sp. 1",0
"Poaceae","Poaceae sp. 2",0
"Polygala","Polygala comosa",0
"Polygala","Polygala nicaeensis",0
"Polygala","Polygala vulgaris",0
"Polygonatum","Polygonatum hirtum",0
"Polygonum","Polygonum aviculare",0
"Polypodium","Polypodium vulgare",0
"Polypogon","Polypogon monspeliensis",0
"Populus","Populus alba",0
"Potentilla","Potentilla argentea",0
"Potentilla","Potentilla inclinata",0
"Potentilla","Potentilla micrantha",0
"Potentilla","Potentilla recta",0
"Potentilla","Potentilla reptans",0
"Potentilla","Potentilla sp.",0
"Prenanthes","Prenanthes purpurea",0
"Prunella","Prunella laciniata",0
"Prunella","Prunella lanceolata",0
"Prunella","Prunella sp.",0
"Prunella","Prunella vulgaris",0
"Prunus","Prunus dulcis",0
"Pteridium","Pteridium aquilinum",0
"Pterocephalus","Pterocephalus perennis",0
"Pterocephalus","Pterocephalus plumosus",0
"Ptilostemon","Ptilostemon strictus",0
"Pyrus","Pyrus communis",0
"Pyrus","Pyrus spinosa",0
"Quercus","Quercus",0
"Quercus","Quercus cerris",0
"Quercus","Quercus coccifera",0
"Quercus","Quercus frainetto",0
"Quercus","Quercus ilex",0
"Quercus","Quercus ithaburensis subsp. macrolepis",0
"Quercus","Quercus petraea",0
"Quercus","Quercus petrea",0
"Quercus","Quercus pubescens",0
"Quercus","Quercus trojana",0
"Ramnus","Ramnus sp.",0
"Ranunculus","Ranunculus acris",0
"Ranunculus","Ranunculus arvensis",0
"Ranunculus","Ranunculus gracilis",0
"Ranunculus","Ranunculus neapolitanus",0
"Ranunculus","Ranunculus sp.",0
"Rapistrum","Rapistrum rugosum",0
"Reseda","Reseda lutea",0
"Reseda","Reseda luteola",0
"Rhagadiolus","Rhagadiolus stellatus",0
"Rhamnus","Rhamnus alaternus",0
"Rhinanthus","Rhinanthus sintenisii",0
"Robinia","Robinia pseudacacia",0
"Robinia","Robinia pseudoacacia",1
"Rorippa","Rorippa thracica",0
"Rosa","Rosa arvensis",0
"Rosa","Rosa canina",0
"Rosa","Rosa canina.",0
"Rosa","Rosa sp.",0
"Rosa","Rosa turcica",0
"Rostraria","Rostraria cristata",0
"Rubia","Rubia peregrina",0
"Rubus","Rubus canescens",0
"Rubus","Rubus idaeus",0
"Rubus","Rubus sanctus",0
"Rumex","Rumex acetosella",0
"Rumex","Rumex crispus",0
"Rumex","Rumex pulcher",0
"Rumex","Rumex sp.",0
"Ruscus","Ruscus aculeatus",0
"Salvia","Salvia officinalis",0
"Salvia","Salvia sp.",0
"Salvia","Salvia verbenaca",0
"Salvia","Salvia virgata",0
"Sambucus","Sambucus ebulus",0
"Sanguisorba","Sanguisorba minor",0
"Sanguisorba","Sanguisorba officinalis",0
"Sanicula","Sanicula europaea",0
"Satureja","Satureja montana",0
"Saxifraga","Saxifraga carpetana subsp. graeca",0
"Saxifraga","Saxifraga sp.",0
"Saxifraga","Saxifraga tridactylites",0
"Scabiosa","Scabiosa atropurpurea",0
"Scabiosa","Scabiosa columbaria",0
"Scabiosa","Scabiosa ochroleuca",0
"Scabiosa","Scabiosa sp.",0
"Scandix","Scandix australis",0
"Scandix","Scandix pecten-veneris",0
"Scolymus","Scolymus hispanicus",0
"Scorzoneroides","Scorzoneroides cichoriacea",0
"Scrophularia","Scrophularia canina",0
"Scrophularia","Scrophularia sp.",0
"Scutellaria","Scutellaria albida",0
"Scutellaria","Scutellaria columnae",0
"Securigera","Securigera varia",0
"Sedum","Sedum amplexicaule",0
"Sedum","Sedum amplexicaule subsp. tenuifolium",0
"Sedum","Sedum cepaea",0
"Sedum","Sedum hispanicum",0
"Sedum","Sedum sp.",0
"Senecio","Senecio sp.",0
"Senecio","Senecio vulgaris",0
"Seradria","Seradria arvensis",0
"Serapias","Serapias vomeracea",0
"Setaria","Setaria viridis",0
"Sherardia","Sherardia arvensis",0
"Sherhardia","Sherhardia arvensis",0
"Sideritis","Sideritis montana",0
"Sideritis","Sideritis scardica",0
"Silene","Silene conica",0
"Silene","Silene coronaria",0
"Silene","Silene italica",0
"Silene","Silene latifolia",0
"Silene","Silene sendtneri subsp. balcanica",0
"Silene","Silene sp.",0
"Silene","Silene viridiflora",0
"Silene","Silene vulgaris",0
"Silybum","Silybum marianum",0
"Sinapis","Sinapis alba",1
"Sisymbrium","Sisymbrium officinale",0
"Smilax","Smilax aspera",0
"Solanum","Solanum elaeagnifolium",1
"Sonchus","Sonchus arvensis",0
"Sonchus","Sonchus asper",0
"Sorbus","Sorbus domestica",0
"Sorbus","Sorbus torminalis",0
"Sorghum","Sorghum halepense",1
"Spartium","Spartium junceum",0
"Spergula","Spergula arvensis",0
"Spergularia","Spergularia media",0
"Spergularia","Spergularia rubra",0
"Stachys","Stachys arvensis",0
"Stachys","Stachys germanica",0
"Stachys","Stachys sp.",0
"Stellaria","Stellaria media",0
"Stellaria","Stellaria sp.",0
"Stipa","Stipa capensis",0
"Stipa","Stipa pennata",0
"Symphytum","Symphytum bulbosum",0
"Taeniatherum","Taeniatherum caput-medusae",0
"Taraxacum","Taraxacum officinale",0
"Taraxacum","Taraxacum officinale group",0
"Taxus","Taxus baccata",0
"Teesdalia","Teesdalia coronopifolia",0
"Teucrium","Teucrium capitatum",0
"Teucrium","Teucrium chamaedrys",0
"Teucrium","Teucrium polium",0
"Thesium","Thesium sp.",0
"Thlaspi","Thlaspi arvense",0
"Thymelaea","Thymelaea passerina",0
"Thymus","Thymus leucotrichus",0
"Thymus","Thymus longicaulis",0
"Thymus","Thymus praecox",0
"Thymus","Thymus sibthorpii",0
"Thymus","Thymus sp.",0
"Tilia","Tilia tomentosa",0
"Tordylium","Tordylium apulum",0
"Tordylium","Tordylium maximum",0
"Torilis","Torilis arvensis",0
"Torilis","Torilis nodosa",0
"Torilis","Torilis sp.",0
"Torilis","Torilis sterilis",0
"Tragopogon","Tragopogon dubius",0
"Tragopogon","Tragopogon porrifolius",0
"Tragopogon","Tragopogon pratensis",0
"Tragopogon","Tragopogon samaritanii",0
"Tragus","Tragus racemosus",0
"Trifolium","Trifolium alpestre",0
"Trifolium","Trifolium angustifolium",0
"Trifolium","Trifolium arvense",0
"Trifolium","Trifolium campestre",0
"Trifolium","Trifolium fragiferum",0
"Trifolium","Trifolium heldreichianum",0
"Trifolium","Trifolium hirtum",0
"Trifolium","Trifolium incarnatum",0
"Trifolium","Trifolium medium subsp. balcanicum",0
"Trifolium","Trifolium micranthum",0
"Trifolium","Trifolium nigrescens",0
