"plotCode","focalOrBenchmark","vegClass","landCover"
"BL2438","f","BF/BS Forest, Old","BF/BS Forest, Old"
"BL2436","f","BF/BS Forest, Old","BF/BS Forest, Old"
"BL2437","f","BF/BS Forest, Mature","BF/BS Forest, Mature"
"BL2434","f","BF/BS Forest, Mature","BF/BS Forest, Mature"
"BL2443","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2442","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2404","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2401","f","BF/BS Forest, Old","BF/BS Forest, Old"
"T_WL6","b","Wetland","Wetland"
"T_S11","b","Wetland","Wetland"
"T_S13","b","Wetland","Wetland"
"T_WL4","b","Wetland","Wetland"
"DP23-11","b","Wetland","Wetland"
"DP23-24","b","Wetland","Wetland"
"DP23-52","b","Wetland","Wetland"
"DP23-64","b","Wetland","Wetland"
"DP23-57","b","Wetland","Wetland"
"BL2402","f","Wetland","Wetland"
"BBWL4","b","Wetland","Wetland"
"BB_WL1","b","Wetland","Wetland"
"T_WL2","b","Wetland","Wetland"
"BB_WL_7","b","Wetland","Wetland"
"DP23-69","b","Wetland","Wetland"
"BL2419","f","Wetland","Wetland"
"BL2415","f","Wetland","Wetland"
"BL2411","f","Wetland","Wetland"
"BL2409","f","Wetland","Wetland"
"BL2428","f","Wetland","Wetland"
"BL2433","f","Wetland","Wetland"
"BL2447","f","Wetland","Wetland"
"DP23-39","b","BF/BS Forest, Old","BF/BS Forest, Old"
"DP23-37","b","BF/BS Forest, Mature","BF/BS Forest, Mature [Disturbed/Logged]"
"DP23-33","b","BF/BS Forest, Old","BF/BS Forest, Old"
"DP23-32","b","BF/BS Forest, Old","BF/BS Forest, Old"
"DP23-30","b","BF/BS Forest, Old","BF/BS Forest, Old"
"DP23-56","b","BF/BS Forest, Mature","BF/BS Forest, Mature [Disturbed/Logged]"
"DP23-60","b","BF/BS Forest, Old","BF/BS Forest, Old"
"BL2423","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
" BL2420","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature"
"BL2427","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2408","f","BF/BS Forest, Old","BF/BS Forest, Old"
"BL2407","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2439","f","BF/BS Forest, Old","BF/BS Forest, Old"
"BL2440","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2441","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BB_WL10","b","Wetland","Wetland"
"DP23-2","b","Wetland","Wetland"
"BB_S_Oc","b","Wetland","Wetland"
"T_S2","b","Wetland","Wetland"
"BB_V8","b","Wetland","Wetland"
"BBS6REV","b","Wetland","Wetland"
"T_WL3","b","Wetland","Wetland"
"T_S8","b","Wetland","Wetland"
"DP23-10","b","Wetland","Wetland"
"DP23-38","b","Wetland","Wetland"
"DP23-54","b","Wetland","Wetland"
"BL2446A","f","Wetland","Wetland"
