"plotCode","focalOrBenchmark","vegClass","landCover"
"TS_17","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"BB_A2","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"DP23-43","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"BBA7OCT","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"BBAOct2","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"DP23-27","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"DP23-25","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"TS_15","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"DP23-26","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"T_S10","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"DP23-49","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"BB_WL10","b","Wetland","Wetland"
"DP23-2","b","Wetland","Wetland"
"DP2401","f","Wetland","Wetland [Reclaimed]"
"DP2409","f","Wetland","Wetland [Reclaimed]"
"DP2411","f","Wetland","Wetland [Reclaimed]"
"DP2408","f","Wetland","Wetland [Reclaimed]"
"BB_S_Oc","b","Wetland","Wetland"
"T_S2","b","Wetland","Wetland"
"BB_V8","b","Wetland","Wetland"
"BBS6REV","b","Wetland","Wetland"
"TS_4_t","f","Wetland","Wetland [Reclaimed]"
"T_WL3","b","Wetland","Wetland"
"T_S8","b","Wetland","Wetland"
"DP23-10","b","Wetland","Wetland"
"DP23-38","b","Wetland","Wetland"
"DP23-54","b","Wetland","Wetland"
"DP2403","f","Wetland","Wetland [Reclaimed]"
"DP2404","f","Wetland","Wetland [Reclaimed]"
"DP2416A","f","Wetland","Wetland [Reclaimed]"
