"speciesID","genus","species","is_exotic","growthForm"
55,"Taraxacum","Taraxacum officinale",1,"Herb"
56,"Oenothera","Oenothera biennis",0,"Herb"
57,"Campylophyllum","Campylophyllum hispidulum",0,"Bryophytes"
58,"Tetraphis","Tetraphis pellucida",0,"Bryophytes"
59,"Polytrichum","Polytrichum commune",0,"Bryophytes"
60,"Hieracium","Hieracium lachenalii",1,"Herb"
61,"Equisetum","Equisetum arvense",0,"Herb"
62,"Juniperus","Juniperus communis",0,"Shrub"
63,"Pohlia","Pohlia nutans",0,"Bryophytes"
64,"Gymnocarpium","Gymnocarpium dryopteris",0,"Herb"
65,"Plantago","Plantago major",1,"Herb"
66,"Juncus","Juncus effusus",0,"Herb"
67,"Fragaria","Fragaria virginiana",0,"Herb"
68,"Climacium","Climacium dendroides",0,"Bryophytes"
69,"Eriophorum","Eriophorum angustifolium",0,"Herb"
70,"Eriophorum","Eriophorum sp.",0,"Herb"
71,"Cornus","Cornus canadensis",0,"Herb"
72,"Amblystegium","Amblystegium serpens",0,"Bryophytes"
73,"Lepidozia","Lepidozia reptans",0,"Bryophytes"
74,"Juniperus","Juniperus horizontalis",0,"Shrub"
75,"Gaultheria","Gaultheria hispidula",0,"Shrub"
76,"Dryopteris","Dryopteris cristata",0,"Herb"
77,"Ulota","Ulota crispa",0,"Bryophytes"
78,"Empetrum","Empetrum spp.",0,"Shrub"
79,"Hypnum","Hypnum curvifolium",0,"Bryophytes"
80,"Hypnum","Hypnum cupressiforme",0,"Bryophytes"
81,"Taraxicum","Taraxicum officinale",0,"Herb"
82,"Sphagnum","Sphagnum tenellum",0,"Bryophytes"
83,"Eriophorum","Eriophorum vaginatum subsp. spissum",0,"Herb"
84,"Juniperus","Juniperus communis var. depressa",0,"Shrub"
85,"Rubus","Rubus pubescens",0,"Shrub"
86,"Drosera","Drosera rotundifolia",0,"Herb"
87,"Dicranum","Dicranum fuscescens",0,"Bryophytes"
88,"Vaccinium","Vaccinium caespitosum",0,"Shrub"
89,"Goodyera","Goodyera repens",0,"Herb"
90,"Betula","Betula minor",0,"Shrub"
91,"Pteridium","Pteridium aquilinum subsp. latiusculum",0,"Herb"
92,"Prunus","Prunus virginiana",0,"Tree"
93,"Dryopteris","Dryopteris campyloptera",0,"Herb"
94,"Eurhynchiastrum","Eurhynchiastrum pulchellum",0,"Bryophytes"
95,"Hypnum","Hypnum fauriei",0,"Bryophytes"
96,"Lentodon","Lentodon autumnalis",1,"Herb"
97,"Plagiochila","Plagiochila sp.",0,"Bryophytes"
98,"Carex","Carex oligosperma",0,"Herb"
99,"Pilosella","Pilosella caespitosa",1,"Herb"
100,"Brachythecium","Brachythecium campestre",0,"Bryophytes"
101,"Chamerion","Chamerion angustifolium",0,"Herb"
102,"Sphagnum","Sphagnum fallax",0,"Bryophytes"
103,"Aster","Aster umbellatus",0,"Herb"
104,"Doellingeria","Doellingeria umbellata",0,"Herb"
105,"Warnstorfia","Warnstorfia fluitans",0,"Bryophytes"
106,"Dicranum","Dicranum spp.",0,"Bryophytes"
107,"Bromus","Bromus ciliatus",0,"Herb"
108,"Sphagnum","Sphagnum girgensohnii",0,"Bryophytes"
109,"Tomentypnum","Tomentypnum nitens",0,"Bryophytes"
110,"Packera","Packera aurea",0,"Herb"
111,"Coptis","Coptis trifolia",0,"Herb"
112,"Aneura","Aneura pinguis",0,"Bryophytes"
113,"Barbilophozia","Barbilophozia lycopodioides",0,"Bryophytes"
114,"Weissia","Weissia controversa",0,"Bryophytes"
115,"Alnus","Alnus alnobetula subsp. crispa",0,"Shrub"
116,"Dicranum","Dicranum viride",0,"Bryophytes"
117,"Niphotrichum","Niphotrichum canescens",0,"Bryophytes"
118,"Rubus","Rubus idaeus subsp. strigosus",0,"Shrub"
119,"Polytrichum","Polytrichum sp.",0,"Bryophytes"
120,"Polytrichum","Polytrichum strictum",0,"Bryophytes"
121,"Hypochaeris","Hypochaeris radicata",1,"Herb"
122,"Blepharostoma","Blepharostoma trichophyllum",0,"Bryophytes"
123,"Hieracium","Hieracium sp.",1,"Herb"
124,"Veronica","Veronica officinalis",1,"Herb"
125,"Anastrophyllum","Anastrophyllum hellerianum",0,"Bryophytes"
126,"Racomitrium","Racomitrium lanuginosum",0,"Bryophytes"
127,"Utricularia","Utricularia cornuta",0,"Herb"
128,"Syzygiella","Syzygiella autumnalis",0,"Bryophytes"
129,"Jungermannia","Jungermannia sp.",0,"Bryophytes"
130,"Poa","Poa pratensis",1,"Herb"
131,"Ptilium","Ptilium crista-castrensis",0,"Bryophytes"
132,"Rhododendron","Rhododendron groenlandicum",0,"Shrub"
133,"Hieracium","Hieracium lachenalii subsp. cruentifolium",1,"Herb"
134,"Euthamia","Euthamia graminifolia",0,"Herb"
135,"Rhytidiadelphus","Rhytidiadelphus loreus",0,"Bryophytes"
136,"Larix","Larix laricina",0,"Tree"
137,"Geum","Geum macrophyllum",0,"Herb"
138,"Solidago","Solidago macrophylla",0,"Herb"
139,"Order","Order Jungermanniales",1,"Herb"
140,"Chamaedaphne","Chamaedaphne calyculata",0,"Shrub"
141,"Lepidozia","Lepidozia sp.",0,"Bryophytes"
142,"Carex","Carex adusta",0,"Herb"
143,"Pyrola","Pyrola minor",0,"Herb"
144,"Hypnum","Hypnum lindbergii",0,"Bryophytes"
145,"Sphagnum","Sphagnum lindbergii",0,"Bryophytes"
146,"Carex","Carex echinata",0,"Herb"
147,"Brachythecium","Brachythecium laetum",0,"Bryophytes"
148,"Dicranum","Dicranum elongatum",0,"Bryophytes"
149,"Polytrichastrum","Polytrichastrum longisetum",0,"Bryophytes"
150,"Salix","Salix bebbiana",0,"Tree"
151,"Linnaea","Linnaea borealis subsp. longiflora",0,"Herb"
152,"Lysimachia","Lysimachia spp.",0,"Herb"
153,"Sphagnum","Sphagnum compactum",0,"Bryophytes"
154,"Eurybia","Eurybia radula",0,"Herb"
155,"Sphagnum","Sphagnum magellanicum",0,"Bryophytes"
156,"Maianthemum","Maianthemum sp.",0,"Herb"
157,"Pylaisia","Pylaisia polyantha",0,"Bryophytes"
158,"Equisetum","Equisetum palustre",0,"Herb"
159,"Scheuchzeria","Scheuchzeria palustris",0,"Herb"
160,"Epilobium","Epilobium palustre",0,"Herb"
161,"Vaccinium","Vaccinium oxycoccos",0,"Shrub"
162,"Thalictrum","Thalictrum polygamum",0,"Herb"
163,"Carex","Carex michauxiana",0,"Herb"
164,"Nemopanthus","Nemopanthus mucronata",0,"Shrub"
165,"Acer","Acer spicatum",0,"Tree"
166,"Amelanchier","Amelanchier bartramiana",0,"Tree"
167,"Betula","Betula cordifolia",0,"Tree"
168,"Carex","Carex limosa",0,"Herb"
169,"Mitella","Mitella nuda",0,"Herb"
170,"Juncus","Juncus brevicaudatus",0,"Herb"
171,"Sphagnum","Sphagnum angustifolium",0,"Bryophytes"
172,"Ptilidium","Ptilidium pulcherrimum",0,"Bryophytes"
173,"Betula","Betula michauxii",0,"Shrub"
174,"Athyrium","Athyrium filix-femina var. angustum",0,"Herb"
175,"Rosa","Rosa nitida",0,"Shrub"
176,"Carex","Carex utriculata",0,"Herb"
177,"Phegopteris","Phegopteris connectilis",0,"Herb"
178,"Andromeda","Andromeda polifolia",0,"Shrub"
179,"Spinulum","Spinulum annotinum subsp. alpestre",0,"Herb"
180,"Oenothera","Oenothera parviflora",0,"Herb"
181,"Hieracium","Hieracium umbellatum",0,"Herb"
182,"Lonicera","Lonicera villosa",0,"Shrub"
183,"Carex","Carex folliculata",0,"Herb"
184,"Cephalozia","Cephalozia sp.",0,"Bryophytes"
185,"Sphagnum","Sphagnum capillifolium",0,"Bryophytes"
186,"Ranunculus","Ranunculus hispidus var. caricetorum",0,"Herb"
187,"Viburnum","Viburnum cassinoides",0,"Shrub"
188,"Lophozia","Lophozia sp.",0,"Bryophytes"
189,"Orthilia","Orthilia secunda",0,"Herb"
190,"Leucanthemum","Leucanthemum vulgare",1,"Herb"
191,"Schistidium","Schistidium papillosum",0,"Bryophytes"
192,"Vaccinium","Vaccinium vitis-idaea",0,"Shrub"
193,"Juncus","Juncus tenuis",0,"Herb"
194,"Anaphalis","Anaphalis margaritacea",0,"Herb"
195,"Prunus","Prunus pensylvanica",0,"Tree"
196,"Sarracenia","Sarracenia purpurea",0,"Herb"
197,"Cladonia","Cladonia cristatella",0,"Bryophytes"
198,"Carex","Carex scoparia",0,"Herb"
199,"Dendrolycopodium","Dendrolycopodium dendroideum",0,"Herb"
200,"Prunus","Prunus sp.",0,"Tree"
201,"Geum","Geum rivale",0,"Herb"
202,"Aronia","Aronia ×prunifolia",0,"Shrub"
203,"Angelica","Angelica atropurpurea",0,"Herb"
204,"Symphyotrichum","Symphyotrichum puniceum",0,"Herb"
205,"Rubus","Rubus idaeus",0,"Shrub"
206,"Glyceria","Glyceria canadensis",0,"Herb"
207,"Actaea","Actaea rubra",0,"Herb"
208,"Trifolium","Trifolium pratense",1,"Herb"
209,"Sambucus","Sambucus racemosa",0,"Shrub"
210,"Hieracium","Hieracium aurantiacum",1,"Herb"
211,"Ceratodon","Ceratodon purpureus",0,"Bryophytes"
212,"Pleurozium","Pleurozium schreberi",0,"Bryophytes"
213,"Sciuro-hypnum","Sciuro-hypnum reflexum",0,"Bryophytes"
214,"Rhododendron","Rhododendron canadense",0,"Shrub"
215,"Aulacomnium","Aulacomnium palustre",0,"Bryophytes"
216,"Sphagnum","Sphagnum teres",0,"Bryophytes"
217,"Chamaenerion","Chamaenerion angustifolium",0,"Herb"
218,"Solidago","Solidago rugosa",0,"Herb"
219,"Agrostis","Agrostis scabra",0,"Herb"
220,"Plagiothecium","Plagiothecium cavifolium",0,"Bryophytes"
221,"Pyrola","Pyrola americana",0,"Herb"
222,"Moerckia","Moerckia sp.",0,"Bryophytes"
223,"Sphagnum","Sphagnum russowii",0,"Bryophytes"
224,"Didymodon","Didymodon ferrugineus",0,"Bryophytes"
225,"Campylopus","Campylopus flexuosus",0,"Bryophytes"
226,"Campylopus","Campylopus schimperi",0,"Bryophytes"
227,"Schofieldia","Schofieldia sp.",0,"Bryophytes"
228,"Carex","Carex sp.",0,"Herb"
229,"Prunella","Prunella vulgaris",0,"Herb"
230,"Pylaisia","Pylaisia selwynii",0,"Bryophytes"
231,"Onoclea","Onoclea sensibilis",0,"Herb"
232,"Eriocaulon","Eriocaulon aquaticum",0,"Herb"
233,"Equisetum","Equisetum pratense",0,"Herb"
234,"Hylocomiastrum","Hylocomiastrum umbratum",0,"Bryophytes"
235,"Rhytidiadelphus","Rhytidiadelphus triquetrus",0,"Bryophytes"
236,"Kalmia","Kalmia angustifolia",0,"Shrub"
237,"Rumex","Rumex acetosella",1,"Herb"
238,"Salix","Salix lucida",0,"Shrub"
239,"Loeskeobryum","Loeskeobryum brevirostre",0,"Bryophytes"
240,"Sciuro-hypnum","Sciuro-hypnum curtum",0,"Bryophytes"
241,"Orthotrichum","Orthotrichum speciosum",0,"Bryophytes"
242,"Sorbus","Sorbus decora",0,"Tree"
243,"Dasiphora","Dasiphora fruticosa",0,"Shrub"
244,"Tomentypnum","Tomentypnum falcifolium",0,"Bryophytes"
245,"Sanionia","Sanionia uncinata",0,"Bryophytes"
246,"Ribes","Ribes glandulosum",0,"Shrub"
247,"Rhizomnium","Rhizomnium gracile",0,"Bryophytes"
248,"Atrichum","Atrichum tenellum",0,"Bryophytes"
249,"Eleocharis","Eleocharis tenuis",0,"Herb"
250,"Luzula","Luzula parviflora",0,"Herb"
251,"Cladium","Cladium mariscoides",0,"Herb"
252,"Chelone","Chelone glabra",0,"Herb"
253,"Schoenoplectus","Schoenoplectus tabernaemontani",0,"Herb"
254,"Carex","Carex tenuiflora",0,"Herb"
255,"Alnus","Alnus rugosa",0,"Shrub"
256,"Sphagnum","Sphagnum sp.",0,"Bryophytes"
257,"Dryopteris","Dryopteris carthusiana",0,"Herb"
258,"Eutrochium","Eutrochium maculatum",0,"Herb"
259,"Dicranella","Dicranella cerviculata",0,"Bryophytes"
260,"Viburnum","Viburnum edule",0,"Shrub"
261,"Hylocomium","Hylocomium splendens",0,"Bryophytes"
262,"Trientalis","Trientalis borealis",0,"Herb"
263,"Lycopodium","Lycopodium annotinum",0,"Herb"
264,"Sphagnum","Sphagnum riparium",0,"Bryophytes"
265,"Hypnum","Hypnum pallescens",0,"Bryophytes"
266,"Betula","Betula pumila",0,"Shrub"
267,"Ribes","Ribes triste",0,"Shrub"
268,"Cirsium","Cirsium muticum",0,"Herb"
269,"Myrica","Myrica gale",0,"Shrub"
270,"Alnus","Alnus incana subsp. rugosa",0,"Shrub"
271,"Pilosella","Pilosella piloselloides",1,"Herb"
272,"Thalictrum","Thalictrum pubescens",0,"Herb"
273,"Platanthera","Platanthera dilatata",0,"Herb"
274,"Eriophorum","Eriophorum virginicum",0,"Herb"
275,"Tetraphis","Tetraphis sp.",0,"Bryophytes"
276,"Brachythecium","Brachythecium turgidum",0,"Bryophytes"
277,"Bazzania","Bazzania trilobata",0,"Bryophytes"
278,"Carex","Carex trisperma",0,"Herb"
279,"Maianthemum","Maianthemum trifolium",0,"Herb"
280,"Nabalus","Nabalus trifoliolatus",0,"Herb"
281,"Phleum","Phleum pratense",1,"Herb"
282,"Populus","Populus tremuloides",0,"Tree"
283,"Linnaea","Linnaea borealis",0,"Shrub"
284,"Sphagnum","Sphagnum contortum",0,"Bryophytes"
285,"Unidentified","Unidentified Grass",0,"Herb"
286,"Unidentified","Unidentified Herbaceous Plant",0,"Herb"
287,"Unidentified","Unidentified Rush",0,"Shrub"
288,"Unidentified","Unidentified Sedge",0,"Herb"
289,"Unknown","Unknown",0,"Herb"
290,"UNKNOWN","UNKNOWN",0,"Bryophytes"
291,"unknown","unknown graminoid",0,"Herb"
292,"unknown","unknown moss",0,"Bryophytes"
293,"Lophocolea","Lophocolea heterophylla",0,"Bryophytes"
294,"Brachytheciastrum","Brachytheciastrum velutinum",0,"Bryophytes"
295,"Viola","Viola sp.",0,"Herb"
296,"Lycopus","Lycopus americanus",0,"Herb"
297,"Equisetum","Equisetum fluviatile",0,"Herb"
298,"Lobelia","Lobelia dortmanna",0,"Herb"
299,"Dicranum","Dicranum polysetum",0,"Bryophytes"
300,"Dicranum","Dicranum flagellare",0,"Bryophytes"
301,"Betula","Betula papyrifera",0,"Tree"
302,"Platanthera","Platanthera blephariglottis",0,"Herb"
303,"Picea","Picea glauca",0,"Tree"
304,"Aralia","Aralia nudicaulis",0,"Herb"
305,"Salix","Salix discolor",0,"Shrub"
306,"Salix","Salix spp.",0,"Tree"
307,"Gaultheria","Gaultheria procumbens",0,"Shrub"
308,"Dryopteris","Dryopteris spinulosa",0,"Herb"
309,"Scirpus","Scirpus cyperinus",0,"Herb"
310,"Betula","Betula alleghaniensis",0,"Tree"
311,"Hieracium caespitosum ","Hieracium caespitosum ",0,"Herb"
312,"Campylium","Campylium stellatum",0,"Bryophytes"
313,"Gaylussacia","Gaylussacia bigeloviana",0,"Shrub"
314,"Sphagnum","Sphagnum squarrosum",0,"Bryophytes"
315,"Ranunculus","Ranunculus acris",1,"Herb"
316,"Galium","Galium triflorum",0,"Herb"
317,"Monotropa","Monotropa uniflora",0,"Herb"
318,"Vaccinium","Vaccinium macrocarpon",0,"Shrub"
319,"Scorpidium","Scorpidium revolvens",0,"Bryophytes"
320,"Vicia","Vicia cracca",1,"Herb"
321,"Sphagnum","Sphagnum warnstorfii",0,"Bryophytes"
