"plotCode","focalOrBenchmark","vegClass","landCover"
"Plot84","f","W11","Stratum-W11-1"
"Plot81","f","W11","Stratum-W11-1"
"Plot98","f","W11","Stratum-W11-2"
"PlotBm115","b","W11","W11"
"Plot57","f","W11","Stratum-W11-2"
"PlotBm117","b","W11","W11"
"PlotBm118","b","W11","W11"
"PlotBm119","b","W11","W11"
"Plot108","f","W11","Stratum-W11-2"
"Plot105","f","W11","Stratum-W11-2"
"Plot107","f","W11","Stratum-W11-2"
"Plot55","f","W11","Stratum-W11-2"
"Plot54","f","W11","Stratum-W11-2"
"Plot104","f","W11","Stratum-W11-2"
"PlotBm113","b","W11","W11"
"PlotBm114","b","W11","W11"
"Plot76","f","W11","Stratum-W11-1"
"PlotBm116","b","W11","W11"
"Plot50","f","W11","Stratum-W11-2"
"Plot99","f","W11","Stratum-W11-2"
"Plot52","f","W11","Stratum-W11-2"
"PlotBm120","b","W11","W11"
"Plot100","f","W11","Stratum-W11-2"
"Plot101","f","W11","Stratum-W11-2"
"Plot102","f","W11","Stratum-W11-2"
"Plot79","f","W11","Stratum-W11-1"
"Plot51","f","W11","Stratum-W11-2"
"Plot73","f","W11","Stratum-W11-1"
"Plot75","f","W11","Stratum-W11-1"
"Plot53","f","W11","Stratum-W11-2"
"Plot103","f","W11","Stratum-W11-2"
"Plot74","f","W11","Stratum-W11-1"
"Plot77","f","W11","Stratum-W11-1"
"Plot78","f","W11","Stratum-W11-1"
"Plot318","f","W12","Stratum-W12-1"
"Plot324","f","W12","Stratum-W12-1"
"Plot320","f","W12","Stratum-W12-1"
"Plot317","f","W12","Stratum-W12-1"
"PlotBm40","b","W12","W12"
"Plot56","f","W12","Stratum-W12-1"
"Plot316","f","W12","Stratum-W12-1"
"Plot313","f","W12","Stratum-W12-1"
"Plot323","f","W12","Stratum-W12-1"
"PlotBm41","b","W12","W12"
"PlotBm42","b","W12","W12"
"Plot322","f","W12","Stratum-W12-1"
"Plot314","f","W12","Stratum-W12-1"
"PlotBm45","b","W12","W12"
"Plot321","f","W12","Stratum-W12-1"
"PlotBm37","b","W12","W12"
"PlotBm38","b","W12","W12"
"PlotBm39","b","W12","W12"
"Plot315","f","W12","Stratum-W12-1"
"PlotBm43","b","W12","W12"
"PlotBm44","b","W12","W12"
"Plot319","f","W12","Stratum-W12-1"
"PlotBm47","b","W12","W12"
"PlotBm48","b","W12","W12"
"PlotBm46","b","W12","W12"
"PlotBm139","b","W16","W16"
"PlotBm144","b","W16","W16"
"PlotBm134","b","W16","W16"
"PlotBm140","b","W16","W16"
"PlotBm137","b","W16","W16"
"PlotBm138","b","W16","W16"
"Plot364","f","W16","Stratum-W16-1"
"PlotBm136","b","W16","W16"
"PlotBm141","b","W16","W16"
"PlotBm142","b","W16","W16"
"PlotBm143","b","W16","W16"
"Plot365","f","W16","Stratum-W16-1"
"PlotBm145","b","W16","W16"
"Plot371","f","W16","Stratum-W16-1"
"Plot362","f","W16","Stratum-W16-1"
"PlotBm135","b","W16","W16"
"Plot372","f","W16","Stratum-W16-1"
"Plot361","f","W16","Stratum-W16-1"
"Plot367","f","W16","Stratum-W16-1"
"Plot363","f","W16","Stratum-W16-1"
"Plot369","f","W16","Stratum-W16-1"
"Plot366","f","W16","Stratum-W16-1"
"Plot368","f","W16","Stratum-W16-1"
"Plot370","f","W16","Stratum-W16-1"
"PlotBm99","b","W17","W17"
"PlotBm104","b","W17","W17"
"PlotBm98","b","W17","W17"
"Plot145","f","W17","Stratum-W17-1"
"Plot146","f","W17","Stratum-W17-1"
"PlotBm100","b","W17","W17"
"PlotBm101","b","W17","W17"
"PlotBm102","b","W17","W17"
"PlotBm103","b","W17","W17"
"Plot149","f","W17","Stratum-W17-1"
"Plot150","f","W17","Stratum-W17-1"
"PlotBm105","b","W17","W17"
"PlotBm106","b","W17","W17"
"Plot148","f","W17","Stratum-W17-1"
"PlotBm97","b","W17","W17"
"Plot156","f","W17","Stratum-W17-1"
"Plot151","f","W17","Stratum-W17-1"
"Plot152","f","W17","Stratum-W17-1"
"Plot154","f","W17","Stratum-W17-1"
"Plot147","f","W17","Stratum-W17-1"
"Plot155","f","W17","Stratum-W17-1"
"Plot153","f","W17","Stratum-W17-1"
"PlotBm107","b","W17","W17"
"PlotBm108","b","W17","W17"
"Plot345","f","W18","Stratum-W18-1"
"Plot343","f","W18","Stratum-W18-1"
"PlotBm56","b","W18","W18"
"PlotBm57","b","W18","W18"
"PlotBm58","b","W18","W18"
"Plot344","f","W18","Stratum-W18-1"
"PlotBm50","b","W18","W18"
"PlotBm51","b","W18","W18"
"Plot348","f","W18","Stratum-W18-1"
"Plot342","f","W18","Stratum-W18-1"
"PlotBm54","b","W18","W18"
"PlotBm55","b","W18","W18"
"Plot347","f","W18","Stratum-W18-1"
"PlotBm53","b","W18","W18"
"PlotBm59","b","W18","W18"
"PlotBm60","b","W18","W18"
"Plot340","f","W18","Stratum-W18-1"
"Plot346","f","W18","Stratum-W18-1"
"PlotBm49","b","W18","W18"
"Plot337","f","W18","Stratum-W18-1"
"Plot338","f","W18","Stratum-W18-1"
"PlotBm52","b","W18","W18"
"Plot341","f","W18","Stratum-W18-1"
"Plot339","f","W18","Stratum-W18-1"
"PlotBm16","b","W2","W2"
"PlotBm17","b","W2","W2"
"PlotBm20","b","W2","W2"
"PlotBm21","b","W2","W2"
"PlotBm22","b","W2","W2"
"PlotBm23","b","W2","W2"
"PlotBm24","b","W2","W2"
"PlotBm14","b","W2","W2"
"PlotBm15","b","W2","W2"
"Plot195","f","W2","Stratum-W2-1"
"PlotBm18","b","W2","W2"
"PlotBm19","b","W2","W2"
"Plot199","f","W2","Stratum-W2-1"
"Plot196","f","W2","Stratum-W2-1"
"Plot197","f","W2","Stratum-W2-1"
"Plot198","f","W2","Stratum-W2-1"
"Plot204","f","W2","Stratum-W2-1"
"Plot201","f","W2","Stratum-W2-1"
"Plot202","f","W2","Stratum-W2-1"
"PlotBm13","b","W2","W2"
"Plot194","f","W2","Stratum-W2-1"
"Plot193","f","W2","Stratum-W2-1"
"Plot200","f","W2","Stratum-W2-1"
"Plot203","f","W2","Stratum-W2-1"
"PlotBm3","b","W21","W21"
"PlotBm1","b","W21","W21"
"PlotBm6","b","W21","W21"
"PlotBm7","b","W21","W21"
"PlotBm8","b","W21","W21"
"PlotBm2","b","W21","W21"
"PlotBm9","b","W21","W21"
"PlotBm10","b","W21","W21"
"PlotBm11","b","W21","W21"
"PlotBm12","b","W21","W21"
"Plot175","f","W21","Stratum-W21-1"
"Plot180","f","W21","Stratum-W21-1"
"Plot179","f","W21","Stratum-W21-1"
"PlotBm4","b","W21","W21"
"PlotBm5","b","W21","W21"
"Plot173","f","W21","Stratum-W21-1"
"Plot174","f","W21","Stratum-W21-1"
"Plot171","f","W21","Stratum-W21-1"
"Plot172","f","W21","Stratum-W21-1"
"Plot169","f","W21","Stratum-W21-1"
"Plot170","f","W21","Stratum-W21-1"
"Plot176","f","W21","Stratum-W21-1"
"Plot177","f","W21","Stratum-W21-1"
"Plot178","f","W21","Stratum-W21-1"
